2017-05-09 16:18:20 status half-installed libpcre3:amd64 2:8.35-3.3+deb8u4
2017-05-09 16:18:20 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-05-09 16:18:20 status unpacked libpcre3:amd64 2:8.35-3.3+deb8u4
2017-05-09 16:18:20 upgrade perl-base:amd64 5.20.2-3+deb8u6 5.20.2-3+deb8u6
2017-05-09 16:18:20 status half-configured perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:20 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:20 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:20 status half-installed perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:20 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:20 status unpacked perl-base:amd64 5.20.2-3+deb8u6
2017-05-09 16:18:21 install libprocps3:amd64 <none> 2:3.3.9-9
2017-05-09 16:18:21 status half-installed libprocps3:amd64 2:3.3.9-9
2017-05-09 16:18:21 status unpacked libprocps3:amd64 2:3.3.9-9
2017-05-09 16:18:21 status unpacked libprocps3:amd64 2:3.3.9-9
2017-05-09 16:18:21 install procps:amd64 <none> 2:3.3.9-9
2017-05-09 16:18:21 status half-installed procps:amd64 2:3.3.9-9
2017-05-09 16:18:21 status unpacked procps:amd64 2:3.3.9-9
2017-05-09 16:18:21 status unpacked procps:amd64 2:3.3.9-9
2017-05-09 16:18:21 install sed:amd64 <none> 4.2.2-4+deb8u1
2017-05-09 16:18:21 status half-installed sed:amd64 4.2.2-4+deb8u1
2017-05-09 16:18:21 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-05-09 16:18:21 status unpacked sed:amd64 4.2.2-4+deb8u1
2017-05-09 16:18:21 install sensible-utils:all <none> 0.0.9
2017-05-09 16:18:21 status half-installed sensible-utils:all 0.0.9
2017-05-09 16:18:21 status unpacked sensible-utils:all 0.0.9
2017-05-09 16:18:21 status unpacked sensible-utils:all 0.0.9
2017-05-09 16:18:21 install login:amd64 <none> 1:4.2-3+deb8u3
2017-05-09 16:18:21 status half-installed login:amd64 1:4.2-3+deb8u3
2017-05-09 16:18:21 status unpacked login:amd64 1:4.2-3+deb8u3
2017-05-09 16:18:21 status unpacked login:amd64 1:4.2-3+deb8u3
2017-05-09 16:18:21 install passwd:amd64 <none> 1:4.2-3+deb8u3
2017-05-09 16:18:21 status half-installed passwd:amd64 1:4.2-3+deb8u3
2017-05-09 16:18:21 status unpacked passwd:amd64 1:4.2-3+deb8u3
2017-05-09 16:18:21 status unpacked passwd:amd64 1:4.2-3+deb8u3
2017-05-09 16:18:21 install libslang2:amd64 <none> 2.3.0-2
2017-05-09 16:18:21 status half-installed libslang2:amd64 2.3.0-2
2017-05-09 16:18:21 status unpacked libslang2:amd64 2.3.0-2
2017-05-09 16:18:21 status unpacked libslang2:amd64 2.3.0-2
2017-05-09 16:18:22 install startpar:amd64 <none> 0.59-3
2017-05-09 16:18:22 status half-installed startpar:amd64 0.59-3
2017-05-09 16:18:22 status unpacked startpar:amd64 0.59-3
2017-05-09 16:18:22 status unpacked startpar:amd64 0.59-3
2017-05-09 16:18:22 install libsystemd0:amd64 <none> 215-17+deb8u7
2017-05-09 16:18:22 status half-installed libsystemd0:amd64 215-17+deb8u7
2017-05-09 16:18:22 status unpacked libsystemd0:amd64 215-17+deb8u7
2017-05-09 16:18:22 status unpacked libsystemd0:amd64 215-17+deb8u7
